Datetime,Heart Rate
2019-12-11 14:18:58,104
2019-12-11 14:19:03,103
2019-12-11 14:19:13,101
2019-12-11 14:19:18,100
2019-12-11 14:19:23,98
2019-12-11 14:19:28,97
2019-12-11 14:19:33,98
2019-12-11 14:19:43,97
2019-12-11 14:19:48,96
2019-12-11 14:20:03,97
2019-12-11 14:20:08,98
2019-12-11 14:20:13,99
2019-12-11 14:20:23,91
2019-12-11 14:20:28,90
2019-12-11 14:20:33,92
2019-12-11 14:20:38,94
2019-12-11 14:20:43,95
2019-12-11 14:20:48,98
2019-12-11 14:20:53,97
2019-12-11 14:20:58,98
2019-12-11 14:21:03,100
2019-12-11 14:21:08,104
2019-12-11 14:21:13,104
2019-12-11 14:21:18,103
2019-12-11 14:21:23,101
2019-12-11 14:21:28,104
2019-12-11 14:21:33,105
2019-12-11 14:21:43,104
2019-12-11 14:21:48,102
2019-12-11 14:21:53,98
2019-12-11 14:21:58,97
2019-12-11 14:22:03,100
2019-12-11 14:22:08,101
2019-12-11 14:22:13,100
2019-12-11 14:22:23,99
2019-12-11 14:22:33,100
2019-12-11 14:22:43,99
2019-12-11 14:22:53,98
2019-12-11 14:22:58,100
2019-12-11 14:23:03,102
2019-12-11 14:23:08,103
2019-12-11 14:23:18,102
2019-12-11 14:23:23,101
2019-12-11 14:23:28,102
2019-12-11 14:23:38,101
2019-12-11 14:23:43,102
2019-12-11 14:23:48,103
2019-12-11 14:23:53,101
2019-12-11 14:23:58,99
2019-12-11 14:24:13,100
2019-12-11 14:24:18,102
2019-12-11 14:24:33,103
2019-12-11 14:24:48,104
2019-12-11 14:24:58,102
2019-12-11 14:25:08,104
2019-12-11 14:25:13,105
2019-12-11 14:25:18,104
2019-12-11 14:25:23,105
2019-12-11 14:25:28,106
2019-12-11 14:25:33,108
2019-12-11 14:25:38,107
2019-12-11 14:25:43,103
2019-12-11 14:25:48,99
2019-12-11 14:25:53,100
2019-12-11 14:26:03,104
2019-12-11 14:26:08,106
2019-12-11 14:26:18,105
2019-12-11 14:26:23,101
2019-12-11 14:26:28,99
2019-12-11 14:26:33,98
2019-12-11 14:26:38,97
2019-12-11 14:26:43,98
2019-12-11 14:26:48,98
2019-12-11 14:26:53,99
2019-12-11 14:26:58,100
2019-12-11 14:27:03,99
2019-12-11 14:27:08,96
2019-12-11 14:27:13,95
2019-12-11 14:27:23,96
2019-12-11 14:27:28,97
2019-12-11 14:27:38,98
2019-12-11 14:27:48,99
2019-12-11 14:27:58,100
2019-12-11 14:28:13,97
2019-12-11 14:28:18,102
2019-12-11 14:28:23,105
2019-12-11 14:28:28,107
2019-12-11 14:28:33,108
2019-12-11 14:28:38,108
2019-12-11 14:28:43,109
2019-12-11 14:28:48,111
2019-12-11 14:28:53,113
2019-12-11 14:29:03,112
2019-12-11 14:29:08,107
2019-12-11 14:29:13,105
2019-12-11 14:29:18,102
2019-12-11 14:29:23,101
2019-12-11 14:29:28,100
2019-12-11 14:29:33,100
2019-12-11 14:29:38,101
2019-12-11 14:29:43,102
2019-12-11 14:29:53,103
2019-12-11 14:29:58,104
2019-12-11 14:30:03,103
2019-12-11 14:30:08,102
2019-12-11 14:30:18,101
2019-12-11 14:30:28,103
2019-12-11 14:30:33,104
2019-12-11 14:30:38,106
2019-12-11 14:30:43,107
2019-12-11 14:30:48,102
2019-12-11 14:30:53,98
2019-12-11 14:30:58,96
2019-12-11 14:31:03,97
2019-12-11 14:31:13,96
2019-12-11 14:31:18,96
2019-12-11 14:31:33,98
2019-12-11 14:31:38,100
2019-12-11 14:31:43,101
2019-12-11 14:31:48,99
2019-12-11 14:31:53,98
2019-12-11 14:31:58,97
2019-12-11 14:32:03,97
2019-12-11 14:32:08,98
2019-12-11 14:32:13,98
2019-12-11 14:32:23,97
2019-12-11 14:32:28,97
2019-12-11 14:32:38,98
2019-12-11 14:32:43,99
2019-12-11 14:32:53,103
2019-12-11 14:32:58,104
2019-12-11 14:33:13,105
2019-12-11 14:33:28,105
2019-12-11 14:33:43,105
2019-12-11 14:39:02,70
2019-12-11 14:41:19,70
2019-12-11 14:41:29,77
2019-12-11 14:41:34,83
2019-12-11 14:41:39,80
2019-12-06 10:58:32,68
2019-12-06 10:58:37,67
2019-12-06 10:58:42,68
2019-12-06 10:58:47,70
2019-12-06 10:58:52,71
2019-12-06 10:59:02,73
2019-12-06 10:59:07,74
2019-12-06 10:59:12,75
2019-12-06 10:59:22,76
2019-12-06 10:59:27,75
2019-12-06 10:59:37,76
2019-12-06 10:59:42,75
2019-12-06 10:59:47,74
2019-12-06 11:00:02,75
2019-12-06 11:00:07,82
2019-12-06 11:00:12,85
2019-12-06 11:00:17,84
2019-12-06 11:00:22,84
2019-12-06 11:00:32,82
2019-12-06 11:00:47,81
2019-12-06 11:00:52,80
2019-12-06 11:01:07,80
2019-12-06 11:01:22,80
2019-12-06 11:01:27,80
2019-12-06 11:01:32,80
2019-12-06 11:01:42,79
2019-12-06 11:01:47,76
2019-12-06 11:01:52,75
2019-12-06 11:02:02,76
2019-12-06 11:02:07,78
2019-12-06 11:02:12,79
2019-12-06 11:02:27,80
2019-12-06 11:02:42,79
2019-12-06 11:02:57,79
2019-12-06 11:03:02,78
2019-12-06 11:03:17,78
2019-12-06 11:03:27,77
2019-12-06 11:03:32,76
2019-12-06 11:03:37,75
2019-12-06 11:03:52,76
2019-12-06 11:03:57,78
2019-12-06 11:04:02,79
2019-12-06 11:04:17,79
2019-12-06 11:04:22,82
2019-12-06 11:04:27,86
2019-12-06 11:04:42,86
2019-12-06 11:04:47,87
2019-12-06 11:04:57,87
2019-12-06 11:05:12,87
2019-12-06 11:05:17,86
2019-12-06 11:05:22,85
2019-12-06 11:05:27,84
2019-12-06 11:05:32,79
2019-12-06 11:05:47,79
2019-12-06 11:06:02,79
2019-12-06 11:06:07,80
2019-12-06 11:06:22,81
2019-12-06 11:06:32,80
2019-12-06 11:06:37,78
2019-12-06 11:06:42,77
2019-12-06 11:06:47,76
2019-12-06 11:06:52,76
2019-12-06 11:06:57,76
2019-12-06 11:07:02,78
2019-12-06 11:07:07,79
2019-12-06 11:07:12,79
2019-12-06 11:07:22,78
2019-12-06 11:07:27,80
2019-12-06 11:07:42,79
2019-12-06 11:07:57,79
2019-12-06 11:08:07,80
2019-12-06 11:08:12,81
2019-12-06 11:08:27,81
2019-12-06 11:08:37,80
2019-12-06 11:08:42,77
2019-12-06 11:08:47,76
2019-12-06 11:08:57,77
2019-12-06 11:09:07,76
2019-12-06 11:09:12,76
2019-12-06 11:09:17,75
2019-12-06 11:09:27,74
2019-12-06 11:09:32,73
2019-12-06 11:09:42,74
2019-12-06 11:09:47,75
2019-12-06 11:09:52,76
